title,price_gbp,rating,in_stock,price_inr,category
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,5,True,3401.32,Spirituality
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4,True,4413.06,Nonfiction
Soul Reader,39.58,2,True,4175.69,Default
Security,39.25,2,True,4140.88,Horror
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,3,True,2639.61,Fantasy
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2,True,5384.72,Sequential Art
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2,True,2092.06,Nonfiction
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3,True,5317.2,Sequential Art
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,True,1435.86,Sequential Art
Princess Between Worlds (Wide-Awake Princess #5),13.34,5,True,1407.37,Fantasy
"Pop Gun War, Volume 1: Gift",18.97,1,True,2001.33,Sequential Art
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2,True,3827.54,History
Patience,10.16,3,True,1071.88,Sequential Art
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,True,1628.92,Sequential Art
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,True,5107.25,Sequential Art
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,1,True,4889.92,Self Help
On a Midnight Clear,14.07,3,True,1484.38,Add a comment
Obsidian (Lux #1),14.86,2,True,1567.73,Young Adult
My Paris Kitchen: Recipes and Stories,33.37,2,True,3520.54,Food and Drink
Masks and Shadows,56.4,2,True,5950.2,Fantasy
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,True,1479.11,Food and Drink
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,True,4949.0,Sequential Art
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,True,4811.85,Sequential Art
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,True,2101.56,Sequential Art
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,1,True,4231.6,Food and Drink
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,2,True,5686.45,Add a comment
Join,35.67,5,True,3763.19,Science Fiction
In the Country We Love: My Family Divided,22.0,4,True,2321.0,Nonfiction
